height,leftHipAngle,rightHipAngle,leftKneeAngle,RightKneeAngle,chestAngle,chestKneeAngle
1.47457,98.2704,99.3005,168.142,167.599,176.862,169.68
1.47447,98.2748,99.2998,168.135,167.651,176.862,169.679
1.47447,98.2728,99.2906,168.152,167.636,176.863,169.68
1.47436,98.2797,99.2823,168.143,167.661,176.863,169.671
1.47436,98.2721,99.2994,168.11,167.645,176.864,169.666
1.47428,98.271,99.316,168.103,167.587,176.866,169.649
1.47431,98.281,99.3131,168.104,167.585,176.869,169.64
1.47428,98.2976,99.2899,168.117,167.588,176.87,169.633
1.4742,98.2952,99.2748,168.071,167.608,176.871,169.638
1.47423,98.2979,99.2732,168.081,167.587,176.873,169.627
1.47428,98.299,99.2754,168.122,167.586,176.879,169.621
1.47427,98.3017,99.2764,168.074,167.558,176.883,169.615
1.47405,98.3022,99.2774,168.076,167.553,176.885,169.615
1.47393,98.3015,99.2889,168.066,167.529,176.886,169.61
1.47385,98.3,99.3025,168.074,167.486,176.889,169.618
1.47385,98.2967,99.3065,168.077,167.506,176.89,169.619
1.47385,98.3116,99.3041,168.067,167.518,176.892,169.612
1.4738,98.3119,99.3007,168.059,167.529,176.893,169.611
1.47385,98.3274,99.3025,168.048,167.497,176.893,169.607
1.47384,98.3307,99.3094,168.058,167.507,176.894,169.593
1.47379,98.3346,99.3162,168.089,167.511,176.895,169.586
1.47388,98.3291,99.3243,168.089,167.477,176.896,169.584
1.47387,98.3329,99.3266,168.097,167.511,176.898,169.573
1.47395,98.3504,99.3182,168.074,167.527,176.903,169.558
1.47408,98.3574,99.3233,168.087,167.537,176.91,169.535
1.47428,98.3663,99.3277,168.09,167.457,176.923,169.51
1.47445,98.3649,99.3276,168.072,167.429,176.935,169.492
1.47463,98.3575,99.3262,168.089,167.436,176.945,169.471
1.47473,98.3534,99.3155,168.092,167.42,176.953,169.458
1.47486,98.3596,99.3216,168.15,167.417,176.962,169.433
1.47498,98.3738,99.3548,168.121,167.398,176.97,169.396
1.47519,98.4165,99.3591,168.017,167.355,176.989,169.318
1.47524,98.4389,99.362,167.951,167.369,176.994,169.278
1.47526,98.46,99.3748,167.922,167.33,176.998,169.249
1.47525,98.4509,99.3803,167.939,167.303,176.999,169.256
1.47522,98.4347,99.3807,167.965,167.33,176.999,169.26
1.47511,98.4007,99.3905,167.999,167.421,177.002,169.263
1.47518,98.4097,99.3621,168.026,167.412,177.002,169.264
1.47529,98.4315,99.3797,168.094,167.403,177,169.247
1.47534,98.4684,99.3602,168.053,167.382,176.998,169.233
1.47543,98.4598,99.3684,168.054,167.453,176.989,169.23
1.47562,98.4233,99.3814,168.064,167.459,176.978,169.258
1.47579,98.2782,99.4091,168.088,167.411,176.973,169.324
1.47621,98.2615,99.3998,168.119,167.333,176.969,169.343
1.47634,98.2191,99.3948,168.198,167.472,176.965,169.367
1.47643,98.2049,99.4049,168.195,167.452,176.959,169.379
1.47645,98.2216,99.388,168.198,167.42,176.952,169.39
1.47665,98.2387,99.3531,168.129,167.375,176.94,169.401
1.47669,98.2777,99.3323,168.06,167.401,176.928,169.386
1.47664,98.3274,99.2869,167.989,167.469,176.9,169.403
1.47668,98.3162,99.2678,167.957,167.507,176.869,169.464
1.47675,98.3175,99.2418,167.954,167.491,176.85,169.512
1.47668,98.323,99.1987,167.954,167.479,176.832,169.532
1.47649,98.3246,99.1587,167.999,167.522,176.815,169.576
1.47627,98.3074,99.1085,168.035,167.555,176.779,169.682
1.47623,98.2499,99.1223,168.068,167.625,176.75,169.754
1.47609,98.2262,99.0137,168.113,167.73,176.708,169.915
1.47592,98.2113,98.9285,168.145,167.761,176.676,170.025
1.47618,98.1341,98.936,168.232,167.718,176.648,170.121
1.47658,98.1596,98.9206,168.287,167.65,176.621,170.212
1.47666,98.1378,98.9163,168.319,167.631,176.592,170.285
1.47667,98.1213,98.9064,168.351,167.638,176.566,170.342
1.47728,98.1285,98.8789,168.351,167.57,176.554,170.362
1.47745,98.1318,98.8719,168.364,167.602,176.54,170.387
1.4779,98.1296,98.8649,168.373,167.617,176.529,170.404
1.47821,98.1333,98.8657,168.361,167.62,176.514,170.422
1.47852,98.109,98.875,168.366,167.642,176.507,170.458
1.47865,98.1193,98.8551,168.357,167.68,176.495,170.463
1.47907,98.1196,98.9001,168.349,167.663,176.492,170.45
1.47926,98.1256,98.9321,168.309,167.649,176.493,170.438
1.47935,98.1453,98.9468,168.314,167.65,176.497,170.433
1.4796,98.1589,98.9358,168.316,167.61,176.499,170.418
1.47976,98.1606,98.9552,168.237,167.594,176.502,170.393
1.4798,98.1591,98.9645,168.233,167.593,176.504,170.386
1.47979,98.1617,98.9729,168.216,167.611,176.504,170.376
1.47985,98.1601,98.9905,168.201,167.616,176.51,170.368
1.47983,98.1555,99.0026,168.235,167.607,176.513,170.367
1.47978,98.1456,99.0275,168.233,167.592,176.518,170.354
1.47954,98.1303,99.0478,168.237,167.591,176.519,170.353
1.47953,98.128,99.0481,168.214,167.576,176.521,170.35
1.47952,98.1265,99.0519,168.209,167.561,176.523,170.341
1.47951,98.1451,99.0518,168.207,167.562,176.525,170.343
1.47951,98.1512,99.0391,168.209,167.552,176.525,170.345
1.47953,98.1791,99.0367,168.212,167.546,176.531,170.335
1.47949,98.1736,99.0428,168.231,167.551,176.532,170.333
1.4795,98.1833,99.0471,168.261,167.538,176.539,170.322
1.47956,98.1771,99.0579,168.267,167.516,176.541,170.328
1.47959,98.1751,99.0661,168.2,167.501,176.541,170.326
1.47974,98.1571,99.0858,168.232,167.497,176.547,170.318
1.47975,98.1163,99.0959,168.337,167.491,176.549,170.341
1.47983,98.072,99.0788,168.366,167.49,176.552,170.375
1.47992,98.027,99.121,168.438,167.462,176.56,170.368
1.47999,97.98,99.1806,168.422,167.424,176.577,170.356
1.4803,97.9323,99.2587,168.496,167.344,176.591,170.338
1.48031,97.9164,99.2794,168.532,167.338,176.599,170.335
1.48056,97.9015,99.2949,168.53,167.296,176.614,170.318
1.48046,97.9054,99.3,168.556,167.334,176.629,170.27
1.4806,97.8846,99.3209,168.608,167.204,176.643,170.23
1.48054,97.9024,99.3011,168.629,167.197,176.654,170.204
1.48036,97.9257,99.2894,168.649,167.224,176.664,170.163
1.48016,97.9556,99.3228,168.635,167.228,176.687,170.091
1.47987,97.9999,99.3144,168.63,167.257,176.706,170.033
1.47969,98.0256,99.2964,168.642,167.251,176.724,169.974
1.47952,98.0522,99.3088,168.674,167.29,176.744,169.922
1.47938,98.0817,99.3205,168.681,167.289,176.761,169.863
1.47928,98.0695,99.3462,168.696,167.27,176.773,169.835
1.47914,98.0767,99.3712,168.661,167.222,176.792,169.819
1.47897,98.1013,99.3786,168.652,167.208,176.804,169.774
1.47887,98.1149,99.389,168.638,167.2,176.812,169.754
1.47878,98.1128,99.4071,168.651,167.188,176.815,169.745
1.47862,98.1215,99.447,168.596,167.244,176.825,169.708
1.47853,98.1296,99.4494,168.599,167.234,176.827,169.7
1.47845,98.134,99.4511,168.614,167.245,176.824,169.704
1.47842,98.1397,99.468,168.62,167.232,176.824,169.691
1.47818,98.1412,99.4824,168.629,167.241,176.817,169.699
1.47799,98.1413,99.4913,168.628,167.337,176.815,169.701
1.47793,98.1532,99.4881,168.63,167.341,176.812,169.702
1.47791,98.1516,99.4835,168.635,167.346,176.81,169.702
1.47795,98.1551,99.4963,168.625,167.313,176.81,169.693
1.47799,98.1673,99.4705,168.633,167.324,176.81,169.699
1.47797,98.1601,99.4605,168.636,167.325,176.809,169.713
1.47809,98.1411,99.5033,168.634,167.336,176.808,169.717
1.47811,98.1394,99.4797,168.655,167.319,176.807,169.723
1.47809,98.1433,99.481,168.645,167.302,176.808,169.715
1.47803,98.1413,99.4671,168.645,167.386,176.804,169.716
1.47806,98.1412,99.4603,168.618,167.389,176.806,169.718
1.47818,98.1394,99.4532,168.658,167.313,176.806,169.719
1.4781,98.1416,99.4383,168.659,167.31,176.812,169.709
1.4781,98.1287,99.4304,168.664,167.326,176.816,169.717
1.47802,98.135,99.4227,168.616,167.286,176.825,169.696
1.4779,98.1311,99.4116,168.63,167.294,176.828,169.703
1.47787,98.1345,99.3835,168.638,167.301,176.829,169.701
1.47788,98.1396,99.3496,168.636,167.257,176.828,169.711
1.4778,98.1487,99.3037,168.615,167.242,176.83,169.712
1.47775,98.148,99.2944,168.629,167.25,176.83,169.724
1.47773,98.1606,99.2663,168.645,167.256,176.831,169.723
1.4776,98.1613,99.2612,168.645,167.267,176.83,169.722
1.47755,98.1578,99.2391,168.651,167.288,176.83,169.727
1.47742,98.1606,99.1862,168.661,167.359,176.827,169.742
1.47732,98.176,99.1616,168.653,167.379,176.827,169.744
1.47726,98.1852,99.1525,168.642,167.379,176.825,169.747
1.47715,98.187,99.143,168.632,167.433,176.821,169.753
1.47712,98.2028,99.1254,168.627,167.437,176.818,169.752
1.47707,98.1995,99.1213,168.634,167.419,176.815,169.767
1.47706,98.1944,99.1208,168.64,167.42,176.813,169.769
1.47704,98.1966,99.1115,168.64,167.426,176.809,169.772
1.47698,98.1953,99.1096,168.638,167.44,176.808,169.779
1.47694,98.1924,99.1052,168.643,167.457,176.806,169.78
1.47683,98.1971,99.1018,168.663,167.49,176.801,169.791
1.4769,98.1956,99.1037,168.663,167.448,176.797,169.8
1.47715,98.1781,99.1214,168.637,167.426,176.79,169.824
1.47763,98.1753,99.122,168.643,167.407,176.781,169.85
1.47825,98.1751,99.1117,168.65,167.377,176.765,169.887
1.4792,98.1638,99.1197,168.671,167.378,176.749,169.927
1.48057,98.1394,99.168,168.69,167.367,176.74,169.952
1.48124,98.1062,99.167,168.729,167.438,176.727,170.005
1.48223,98.0905,99.1748,168.732,167.509,176.708,170.038
1.48256,98.084,99.1836,168.751,167.565,176.688,170.064
1.48305,98.0703,99.2362,168.752,167.558,176.666,170.086
1.48357,98.0188,99.3436,168.77,167.48,176.646,170.126
1.4837,98.0038,99.3889,168.764,167.454,176.621,170.158
1.48397,98.0047,99.3687,168.788,167.427,176.613,170.191
1.48427,98.0002,99.3977,168.785,167.393,176.606,170.19
1.48454,97.9313,99.4756,168.859,167.326,176.597,170.203
1.48484,97.9383,99.481,168.867,167.33,176.573,170.23
1.48506,97.9717,99.4626,168.857,167.358,176.553,170.245
1.48539,97.9698,99.4691,168.852,167.327,176.526,170.273
1.48546,97.9627,99.4691,168.867,167.367,176.506,170.307
1.48547,97.9661,99.4666,168.882,167.378,176.495,170.319
1.48546,97.9689,99.4679,168.858,167.377,176.469,170.349
1.48545,97.9806,99.4596,168.821,167.392,176.458,170.355
1.48539,97.9826,99.4949,168.769,167.38,176.437,170.375
1.48541,97.9975,99.5179,168.866,167.356,176.435,170.359
1.48539,98.0058,99.5569,168.866,167.349,176.43,170.359
